"[100, 7]",0.817307026652821,0.8234637650833507,0.8218358831710709,0.8148301574150786,0.8246923821374257,0.820455808782657,0.818957080945058
0.8767195418942935,0.8882551893361628,0.8929144385026737,0.8813873444532698,0.8889477869069706,0.8818080283818409,0.8891404221319661,"[80, 7]"
0.8192110594684782,0.8186800095306171,0.8246098439375751,0.8328690807799443,0.8187719611696743,0.8194047619047619,0.8190317394152324,0.8327984012596138
"[93, 6]",0.8238338776264712,0.8240729333497597,0.8241020269853983,0.8238772870079468,0.8242902013918827,0.8237831176833025,0.8244350021553052
0.823594674556213,"[81, 8]",0.850280039263237,0.8707788751552428,0.8583745994756773,0.8791116948241897,0.8721233689205219,0.8724864252043678
0.8713350244823314,0.8697045211819153,"[81, 7]",0.9285432293722858,0.92644056634837,0.9335438873535992,0.9253263707571802,0.9305044666316342
0.9239682333029553,0.925594846851584,0.9288493241015495,"[86, 6]",0.7295549638645873,0.7261518494484102,0.7292344393840815,0.7296856303709343
0.7256493506493508,0.7257794348084509,0.7294513120798091,0.7294130411196702,"[68, 9]",0.9295934446895683,0.9213810579664238,0.92181956411556
0.9267986176562991,0.9199823444101143,0.9219264892268694,0.9177358490566038,0.9221017937503961,"[87, 7]",0.924854736567213,0.9241839471446327
0.9251228300032754,0.9269570913855225,0.9285057169141806,0.9250507298553381,0.9091142985785039,0.9291110965113988,"[89, 6]",0.8829467939972714
0.8672104840866541,0.8738125715825641,0.8892548373816385,0.8664930207707205,0.8718916369027563,0.8922122674017918,0.8912938581374509,"[72, 9]"
0.8799051883065577,0.9254714544045465,0.9212388805921693,0.9167146053052094,0.9173462065366298,0.9227467811158798,0.9180878552971575,0.9197174884986717
"[95, 5]",0.8973205012808974,0.9000965916931143,0.8969478856668281,0.8963418850701887,0.8998206154270731,0.9001724732666436,0.8985105645999308
0.9015544041450778,"[85, 10]",0.7855961177897872,0.7956293901215297,0.7920550377274744,0.7927998216674097,0.7893569844789357,0.7906357483634749
0.7869195985441712,0.7954976039228797,"[92, 7]",0.781745001298364,0.7644625469356583,0.7853970741901776,0.7599091138601363,0.7675469296850144
0.7981907675934548,0.7700706486833654,0.7669278297980764,"[74, 9]",0.92229751124058,0.9165827881227981,0.9223086162210001,0.9157504554878433
0.9135152085293196,0.9154522613065327,0.9237889931524221,0.9172487571581398,"[85, 7]",0.8450784593437946,0.8630328441649197,0.8647196261682242
